Release 13.2 - par O.61xd (nt64)
Copyright (c) 1995-2011 Xilinx, Inc.  All rights reserved.

Thu Jun 15 20:32:24 2017


INFO: The IO information is provided in three file formats as part of the Place and Route (PAR) process.  These formats are:
1. The <design name>_pad.txt file (this file) designed to provide information on IO usage in a human readable ASCII text format viewable through common text editors.
2. The <design namd>_pad.csv file for use with spreadsheet programs such as MS Excel. This file can also be read by PACE to communicate post PAR IO information.
3. The <design name>.pad file designed for parsing by customers.  It uses the "|" as a data field separator.

INPUT FILE:       data_ram_display_map.ncd
OUTPUT FILE:      data_ram_display_pad.txt
PART TYPE:        xc6slx150
SPEED GRADE:      -3
PACKAGE:          fgg484

Pinout by Pin Number:

+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|Pin Number|Signal Name    |Pin Usage|Pin Name                     |Direction|IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage  |Constraint|IO Register|Signal Integrity|
|A12       |lcd_data_io<12>|IOB      |IO_L37N_GCLK12_0             |OUTPUT   |LVTTL      |0             |12        |         |           |         |         |LOCATED   |NO         |NONE            |
|A13       |lcd_data_io<14>|IOB      |IO_L38N_VREF_0               |OUTPUT   |LVTTL      |0             |12        |         |           |         |         |LOCATED   |NO         |NONE            |
|A14       |lcd_data_io<13>|IOB      |IO_L50N_0                    |OUTPUT   |LVTTL      |0             |12        |         |           |         |         |LOCATED   |NO         |NONE            |
|A15       |lcd_bl_ctr     |IOB      |IO_L51N_0                    |OUTPUT   |LVTTL      |0             |12        |         |           |         |         |LOCATED   |NO         |NONE            |
|A16       |ct_sda         |IOB      |IO_L63N_SCP6_0               |BIDIR    |LVTTL      |0             |12        |         |           |NONE     |         |LOCATED   |NO         |NONE            |
|A17       |               |IOBS     |IO_L64N_SCP4_0               |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|A18       |ct_int         |IOB      |IO_L65N_SCP2_0               |TRISTATE |LVTTL      |0             |12        |         |           |         |         |LOCATED   |NO         |NONE            |
|A19       |               |         |TDO                          |         |           |              |          |         |           |         |         |          |           |                |
|A20       |               |IOBM     |IO_L20P_1                    |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|A21       |               |IOBS     |IO_L20N_1                    |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|A22       |               |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|AA1       |               |         |PROGRAM_B_2                  |         |           |              |          |         |           |         |         |          |           |                |
|AA2       |               |IOBM     |IO_L64P_D8_2                 |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AA3       |               |         |VCCO_2                       |         |           |2             |          |         |           |         |any******|          |           |                |
|AA4       |               |IOBM     |IO_L57P_2                    |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AA5       |               |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|AA6       |               |IOBM     |IO_L49P_D3_2                 |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AA7       |               |         |VCCO_2                       |         |           |2             |          |         |           |         |any******|          |           |                |
|AA8       |               |IOBM     |IO_L45P_2                    |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AA9       |               |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|AA10      |               |IOBM     |IO_L41P_2                    |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AA11      |               |         |VCCO_2                       |         |           |2             |          |         |           |         |any******|          |           |                |
|AA12      |               |IOBM     |IO_L31P_GCLK31_D14_2         |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AA13      |               |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|AA14      |               |IOBM     |IO_L16P_2                    |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AA15      |               |         |VCCO_2                       |         |           |2             |          |         |           |         |any******|          |           |                |
|AA16      |               |IOBM     |IO_L19P_2                    |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AA17      |               |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|AA18      |               |IOBM     |IO_L14P_D11_2                |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AA19      |               |         |VCCO_2                       |         |           |2             |          |         |           |         |any******|          |           |                |
|AA20      |               |IOBM     |IO_L3P_D0_DIN_MISO_MISO1_2   |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AA21      |               |IOBM     |IO_L2P_CMPCLK_2              |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AA22      |               |IOBS     |IO_L1N_M0_CMPMISO_2          |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AB1       |               |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|AB2       |               |IOBS     |IO_L64N_D9_2                 |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AB3       |               |IOBS     |IO_L58N_2                    |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AB4       |               |IOBS     |IO_L57N_2                    |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AB5       |               |IOBS     |IO_L54N_2                    |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AB6       |               |IOBS     |IO_L49N_D4_2                 |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AB7       |               |IOBS     |IO_L48N_RDWR_B_VREF_2        |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AB8       |               |IOBS     |IO_L45N_2                    |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AB9       |               |IOBS     |IO_L43N_2                    |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AB10      |               |IOBS     |IO_L41N_VREF_2               |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AB11      |               |IOBS     |IO_L32N_GCLK28_2             |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AB12      |               |IOBS     |IO_L31N_GCLK30_D15_2         |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AB13      |               |IOBS     |IO_L30N_GCLK0_USERCCLK_2     |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AB14      |               |IOBS     |IO_L16N_VREF_2               |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AB15      |               |IOBS     |IO_L21N_2                    |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AB16      |               |IOBS     |IO_L19N_2                    |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AB17      |               |IOBS     |IO_L15N_2                    |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AB18      |               |IOBS     |IO_L14N_D12_2                |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AB19      |               |IOBS     |IO_L5N_2                     |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AB20      |               |IOBS     |IO_L3N_MOSI_CSI_B_MISO0_2    |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AB21      |               |IOBS     |IO_L2N_CMPMOSI_2             |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AB22      |               |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|B1        |               |IOBS     |IO_L60N_3                    |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|B2        |               |IOBM     |IO_L60P_3                    |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|B3        |               |IOBS     |IO_L83N_VREF_3               |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|B4        |               |         |VCCO_0                       |         |           |0             |          |         |           |         |3.30     |          |           |                |
|B5        |               |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|B6        |               |IOBM     |IO_L4P_0                     |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|B7        |               |         |VCCO_0                       |         |           |0             |          |         |           |         |3.30     |          |           |                |
|B8        |led_wdata      |IOB      |IO_L6P_0                     |OUTPUT   |LVCMOS33   |0             |12        |         |           |         |         |LOCATED   |NO         |NONE            |
|B9        |               |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|B10       |               |IOBM     |IO_L34P_GCLK19_0             |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|B11       |               |         |VCCO_0                       |         |           |0             |          |         |           |         |3.30     |          |           |                |
|B12       |lcd_data_io<9> |IOB      |IO_L37P_GCLK13_0             |OUTPUT   |LVTTL      |0             |12        |         |           |         |         |LOCATED   |NO         |NONE            |
|B13       |               |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|B14       |lcd_data_io<15>|IOB      |IO_L50P_0                    |OUTPUT   |LVTTL      |0             |12        |         |           |         |         |LOCATED   |NO         |NONE            |
|B15       |               |         |VCCO_0                       |         |           |0             |          |         |           |         |3.30     |          |           |                |
|B16       |               |IOBM     |IO_L63P_SCP7_0               |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|B17       |               |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|B18       |ct_scl         |IOB      |IO_L65P_SCP3_0               |OUTPUT   |LVTTL      |0             |12        |         |           |         |         |LOCATED   |NO         |NONE            |
|B19       |               |         |VCCO_0                       |         |           |0             |          |         |           |         |3.30     |          |           |                |
|B20       |               |IOBS     |IO_L1N_A24_VREF_1            |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|B21       |               |IOBM     |IO_L19P_1                    |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|B22       |               |IOBS     |IO_L19N_1                    |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|C1        |               |IOBS     |IO_L54N_M3A11_3              |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|C2        |               |         |VCCO_3                       |         |           |3             |          |         |           |         |any******|          |           |                |
|C3        |               |IOBM     |IO_L54P_M3RESET_3            |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|C4        |               |IOBS     |IO_L81N_3                    |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|C5        |               |IOBM     |IO_L2P_0                     |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|C6        |               |IOBS     |IO_L3N_0                     |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|C7        |led_wen<2>     |IOB      |IO_L5P_0                     |OUTPUT   |LVCMOS33   |0             |12        |         |           |         |         |LOCATED   |NO         |NONE            |
|C8        |led_wen<0>     |IOB      |IO_L7N_0                     |OUTPUT   |LVCMOS33   |0             |12        |         |           |         |         |LOCATED   |NO         |NONE            |
|C9        |               |IOBM     |IO_L8P_0                     |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|C10       |               |IOBS     |IO_L33N_0                    |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|C11       |               |IOBM     |IO_L35P_GCLK17_0             |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|C12       |lcd_data_io<11>|IOB      |IO_L36N_GCLK14_0             |OUTPUT   |LVTTL      |0             |12        |         |           |         |         |LOCATED   |NO         |NONE            |
|C13       |lcd_data_io<0> |IOB      |IO_L38P_0                    |OUTPUT   |LVTTL      |0             |12        |         |           |         |         |LOCATED   |NO         |NONE            |
|C14       |lcd_data_io<2> |IOB      |IO_L49N_0                    |OUTPUT   |LVTTL      |0             |12        |         |           |         |         |LOCATED   |NO         |NONE            |
|C15       |lcd_data_io<4> |IOB      |IO_L51P_0                    |OUTPUT   |LVTTL      |0             |12        |         |           |         |         |LOCATED   |NO         |NONE            |
|C16       |lcd_data_io<6> |IOB      |IO_L62N_VREF_0               |OUTPUT   |LVTTL      |0             |12        |         |           |         |         |LOCATED   |NO         |NONE            |
|C17       |ct_rstn        |IOB      |IO_L64P_SCP5_0               |OUTPUT   |LVTTL      |0             |12        |         |           |         |         |LOCATED   |NO         |NONE            |
|C18       |               |         |TMS                          |         |           |              |          |         |           |         |         |          |           |                |
|C19       |               |IOBM     |IO_L1P_A25_1                 |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|C20       |               |IOBM     |IO_L32P_A17_M1A8_1           |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|C21       |               |         |VCCO_1                       |         |           |1             |          |         |           |         |any******|          |           |                |
|C22       |               |IOBS     |IO_L32N_A16_M1A9_1           |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|D1        |               |IOBS     |IO_L53N_M3A12_3              |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|D2        |               |IOBM     |IO_L53P_M3CKE_3              |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|D3        |               |IOBM     |IO_L81P_3                    |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|D4        |               |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|D5        |               |IOBM     |IO_L58P_3                    |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|D6        |               |IOBM     |IO_L3P_0                     |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|D7        |               |IOBM     |IO_L32P_0                    |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|D8        |               |IOBS     |IO_L32N_0                    |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|D9        |               |IOBM     |IO_L7P_0                     |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|D10       |               |IOBM     |IO_L33P_0                    |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|D11       |               |IOBM     |IO_L36P_GCLK15_0             |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|D12       |lcd_cs         |IOB      |IO_L43N_0                    |OUTPUT   |LVTTL      |0             |12        |         |           |         |         |LOCATED   |NO         |NONE            |
|D13       |lcd_wr         |IOB      |IO_L45N_0                    |OUTPUT   |LVTTL      |0             |12        |         |           |         |         |LOCATED   |NO         |NONE            |
|D14       |lcd_rst        |IOB      |IO_L49P_0                    |OUTPUT   |LVTTL      |0             |12        |         |           |         |         |LOCATED   |NO         |NONE            |
|D15       |lcd_data_io<3> |IOB      |IO_L62P_0                    |OUTPUT   |LVTTL      |0             |12        |         |           |         |         |LOCATED   |NO         |NONE            |
|D16       |               |         |VCCAUX                       |         |           |              |          |         |           |         |2.5      |          |           |                |
|D17       |lcd_data_io<7> |IOB      |IO_L66N_SCP0_0               |OUTPUT   |LVTTL      |0             |12        |         |           |         |         |LOCATED   |NO         |NONE            |
|D18       |               |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|D19       |               |IOBM     |IO_L29P_A23_M1A13_1          |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|D20       |               |IOBS     |IO_L29N_A22_M1A14_1          |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|D21       |               |IOBM     |IO_L31P_A19_M1CKE_1          |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|D22       |               |IOBS     |IO_L31N_A18_M1A12_1          |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|E1        |               |IOBS     |IO_L52N_M3A9_3               |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|E2        |               |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|E3        |               |IOBM     |IO_L52P_M3A8_3               |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|E4        |               |IOBS     |IO_L58N_3                    |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|E5        |               |IOBM     |IO_L82P_3                    |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|E6        |               |IOBS     |IO_L82N_3                    |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|E7        |               |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|E8        |led_wen<1>     |IOB      |IO_L14P_0                    |OUTPUT   |LVCMOS33   |0             |12        |         |           |         |         |LOCATED   |NO         |NONE            |
|E9        |               |         |VCCO_0                       |         |           |0             |          |         |           |         |3.30     |          |           |                |
|E10       |               |IOBM     |IO_L17P_0                    |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|E11       |               |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|E12       |lcd_rs         |IOB      |IO_L43P_0                    |OUTPUT   |LVTTL      |0             |12        |         |           |         |         |LOCATED   |NO         |NONE            |
|E13       |               |         |VCCO_0                       |         |           |0             |          |         |           |         |3.30     |          |           |                |
|E14       |lcd_data_io<1> |IOB      |IO_L47P_0                    |OUTPUT   |LVTTL      |0             |12        |         |           |         |         |LOCATED   |NO         |NONE            |
|E15       |               |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|E16       |lcd_data_io<8> |IOB      |IO_L66P_SCP1_0               |OUTPUT   |LVTTL      |0             |12        |         |           |         |         |LOCATED   |NO         |NONE            |
|E17       |               |         |VCCO_0                       |         |           |0             |          |         |           |         |3.30     |          |           |                |
|E18       |               |         |TDI                          |         |           |              |          |         |           |         |         |          |           |                |
|E19       |               |         |VCCO_1                       |         |           |1             |          |         |           |         |any******|          |           |                |
|E20       |               |IOBM     |IO_L35P_A11_M1A7_1           |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|E21       |               |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|E22       |               |IOBS     |IO_L35N_A10_M1A2_1           |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|F1        |               |IOBS     |IO_L50N_M3BA2_3              |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|F2        |               |IOBM     |IO_L50P_M3WE_3               |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|F3        |               |IOBS     |IO_L51N_M3A4_3               |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|F4        |               |         |VCCO_3                       |         |           |3             |          |         |           |         |any******|          |           |                |
|F5        |               |IOBS     |IO_L55N_M3A14_3              |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|F6        |               |         |VCCO_3                       |         |           |3             |          |         |           |         |any******|          |           |                |
|F7        |               |IOBS     |IO_L80N_3                    |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|F8        |led_wen<3>     |IOB      |IO_L14N_0                    |OUTPUT   |LVCMOS33   |0             |12        |         |           |         |         |LOCATED   |NO         |NONE            |
|F9        |led_addr       |IOB      |IO_L15N_0                    |OUTPUT   |LVCMOS33   |0             |12        |         |           |         |         |LOCATED   |NO         |NONE            |
|F10       |               |IOBS     |IO_L17N_0                    |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|F11       |               |         |VCCAUX                       |         |           |              |          |         |           |         |2.5      |          |           |                |
|F12       |               |IOBS     |IO_L44N_0                    |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|F13       |lcd_rd         |IOB      |IO_L45P_0                    |OUTPUT   |LVTTL      |0             |12        |         |           |         |         |LOCATED   |NO         |NONE            |
|F14       |lcd_data_io<5> |IOB      |IO_L48P_0                    |OUTPUT   |LVTTL      |0             |12        |         |           |         |         |LOCATED   |NO         |NONE            |
|F15       |lcd_data_io<10>|IOB      |IO_L47N_0                    |OUTPUT   |LVTTL      |0             |12        |         |           |         |         |LOCATED   |NO         |NONE            |
|F16       |               |IOBM     |IO_L10P_1                    |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|F17       |               |IOBS     |IO_L10N_1                    |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|F18       |               |IOBM     |IO_L30P_A21_M1RESET_1        |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|F19       |               |IOBS     |IO_L30N_A20_M1A11_1          |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|F20       |               |IOBS     |IO_L33N_A14_M1A4_1           |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|F21       |               |IOBM     |IO_L37P_A7_M1A0_1            |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|F22       |               |IOBS     |IO_L37N_A6_M1A1_1            |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|G1        |               |IOBS     |IO_L48N_M3BA1_3              |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|G2        |               |         |VCCO_3                       |         |           |3             |          |         |           |         |any******|          |           |                |
|G3        |               |IOBM     |IO_L48P_M3BA0_3              |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|G4        |               |IOBM     |IO_L51P_M3A10_3              |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|G5        |               |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|G6        |               |IOBM     |IO_L55P_M3A13_3              |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|G7        |               |IOBM     |IO_L80P_3                    |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|G8        |               |IOBM     |IO_L15P_0                    |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|G9        |               |IOBM     |IO_L16P_0                    |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|G10       |               |         |VCCO_0                       |         |           |0             |          |         |           |         |3.30     |          |           |                |
|G11       |               |IOBM     |IO_L18P_0                    |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|G12       |               |         |VCCAUX                       |         |           |              |          |         |           |         |2.5      |          |           |                |
|G13       |               |IOBS     |IO_L46N_0                    |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|G14       |               |         |VCCO_0                       |         |           |0             |          |         |           |         |3.30     |          |           |                |
|G15       |               |         |TCK                          |         |           |              |          |         |           |         |         |          |           |                |
|G16       |               |IOBM     |IO_L9P_1                     |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|G17       |               |IOBS     |IO_L9N_1                     |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|G18       |               |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|G19       |               |IOBM     |IO_L33P_A15_M1A10_1          |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|G20       |               |IOBM     |IO_L39P_M1A3_1               |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|G21       |               |         |VCCO_1                       |         |           |1             |          |         |           |         |any******|          |           |                |
|G22       |               |IOBS     |IO_L39N_M1ODT_1              |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|H1        |               |IOBS     |IO_L47N_M3A1_3               |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|H2        |               |IOBM     |IO_L47P_M3A0_3               |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|H3        |               |IOBS     |IO_L46N_M3CLKN_3             |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|H4        |               |IOBM     |IO_L46P_M3CLK_3              |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|H5        |               |IOBS     |IO_L49N_M3A2_3               |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|H6        |               |IOBM     |IO_L49P_M3A7_3               |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|H7        |               |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|H8        |               |IOBS     |IO_L59N_3                    |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|H9        |               |         |VCCAUX                       |         |           |              |          |         |           |         |2.5      |          |           |                |
|H10       |               |IOBS     |IO_L16N_0                    |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|H11       |               |IOBS     |IO_L18N_0                    |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|H12       |               |IOBM     |IO_L44P_0                    |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|H13       |               |IOBM     |IO_L46P_0                    |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|H14       |               |IOBS     |IO_L48N_0                    |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|H15       |               |         |VCCAUX                       |         |           |              |          |         |           |         |2.5      |          |           |                |
|H16       |               |IOBM     |IO_L28P_1                    |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|H17       |               |IOBS     |IO_L28N_VREF_1               |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|H18       |               |IOBS     |IO_L34N_A12_M1BA2_1          |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|H19       |               |IOBM     |IO_L34P_A13_M1WE_1           |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|H20       |               |IOBM     |IO_L38P_A5_M1CLK_1           |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|H21       |               |IOBM     |IO_L41P_GCLK9_IRDY1_M1RASN_1 |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|H22       |               |IOBS     |IO_L41N_GCLK8_M1CASN_1       |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|J1        |clk            |IOB      |IO_L41N_GCLK26_M3DQ5_3       |INPUT    |LVTTL      |3             |          |         |           |NONE     |         |LOCATED   |NO         |NONE            |
|J2        |               |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|J3        |               |IOBM     |IO_L41P_GCLK27_M3DQ4_3       |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|J4        |               |IOBS     |IO_L44N_GCLK20_M3A6_3        |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|J5        |               |         |VCCO_3                       |         |           |3             |          |         |           |         |any******|          |           |                |
|J6        |               |IOBS     |IO_L45N_M3ODT_3              |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|J7        |               |IOBM     |IO_L59P_3                    |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|J8        |               |         |VCCINT                       |         |           |              |          |         |           |         |1.2      |          |           |                |
|J9        |               |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|J10       |               |         |VCCINT                       |         |           |              |          |         |           |         |1.2      |          |           |                |
|J11       |               |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|J12       |               |         |VCCINT                       |         |           |              |          |         |           |         |1.2      |          |           |                |
|J13       |               |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|J14       |               |         |VCCINT                       |         |           |              |          |         |           |         |1.2      |          |           |                |
